date,sitename,trait,trait_description,mean
2018-05-01,MAC Field Scanner Season 6 Range 30 Column 8,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-01,MAC Field Scanner Season 6 Range 30 Column 15,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-01,MAC Field Scanner Season 6 Range 30 Column 3,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-01,MAC Field Scanner Season 6 Range 20 Column 3,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-01,MAC Field Scanner Season 6 Range 30 Column 9,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-01,MAC Field Scanner Season 6 Range 30 Column 11,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-01,MAC Field Scanner Season 6 Range 20 Column 10,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-01,MAC Field Scanner Season 6 Range 20 Column 9,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-01,MAC Field Scanner Season 6 Range 30 Column 6,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-01,MAC Field Scanner Season 6 Range 20 Column 2,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-01,MAC Field Scanner Season 6 Range 30 Column 12,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-01,MAC Field Scanner Season 6 Range 30 Column 10,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-01,MAC Field Scanner Season 6 Range 20 Column 11,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-01,MAC Field Scanner Season 6 Range 20 Column 12,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-01,MAC Field Scanner Season 6 Range 30 Column 5,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-01,MAC Field Scanner Season 6 Range 20 Column 6,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-01,MAC Field Scanner Season 6 Range 30 Column 1,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-01,MAC Field Scanner Season 6 Range 20 Column 8,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-01,MAC Field Scanner Season 6 Range 20 Column 4,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-01,MAC Field Scanner Season 6 Range 20 Column 15,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-01,MAC Field Scanner Season 6 Range 20 Column 5,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-01,MAC Field Scanner Season 6 Range 20 Column 7,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-01,MAC Field Scanner Season 6 Range 30 Column 4,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-01,MAC Field Scanner Season 6 Range 20 Column 13,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-01,MAC Field Scanner Season 6 Range 30 Column 2,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-01,MAC Field Scanner Season 6 Range 20 Column 1,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-01,MAC Field Scanner Season 6 Range 30 Column 13,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-01,MAC Field Scanner Season 6 Range 20 Column 14,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-01,MAC Field Scanner Season 6 Range 30 Column 14,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-01,MAC Field Scanner Season 6 Range 30 Column 7,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-02,MAC Field Scanner Season 6 Range 30 Column 12,canopy_cover,Fraction of ground covered by plant,0.000545624216229
2018-05-02,MAC Field Scanner Season 6 Range 30 Column 10,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-02,MAC Field Scanner Season 6 Range 20 Column 8,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-02,MAC Field Scanner Season 6 Range 20 Column 11,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-02,MAC Field Scanner Season 6 Range 20 Column 12,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-02,MAC Field Scanner Season 6 Range 20 Column 14,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-02,MAC Field Scanner Season 6 Range 20 Column 5,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-02,MAC Field Scanner Season 6 Range 20 Column 1,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-02,MAC Field Scanner Season 6 Range 30 Column 5,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-02,MAC Field Scanner Season 6 Range 20 Column 3,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-02,MAC Field Scanner Season 6 Range 30 Column 1,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-02,MAC Field Scanner Season 6 Range 30 Column 14,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-02,MAC Field Scanner Season 6 Range 20 Column 7,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-02,MAC Field Scanner Season 6 Range 30 Column 4,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-02,MAC Field Scanner Season 6 Range 20 Column 4,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-02,MAC Field Scanner Season 6 Range 20 Column 13,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-02,MAC Field Scanner Season 6 Range 30 Column 15,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-02,MAC Field Scanner Season 6 Range 30 Column 6,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-02,MAC Field Scanner Season 6 Range 30 Column 3,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-02,MAC Field Scanner Season 6 Range 30 Column 11,canopy_cover,Fraction of ground covered by plant,0.0
2018-05-02,MAC Field Scanner Season 6 Range 20 Column 2,canopy_cover,Fraction of ground covered by plant,0.0
