sitename,cultivar
MAC Field Scanner Season 4 Range 3 Column 3,PI329465
MAC Field Scanner Season 4 Range 3 Column 4,PI329465
MAC Field Scanner Season 4 Range 3 Column 5,PI22913
MAC Field Scanner Season 4 Range 3 Column 6,PI22913
MAC Field Scanner Season 4 Range 3 Column 7,PI145626
MAC Field Scanner Season 4 Range 3 Column 8,PI145626
MAC Field Scanner Season 4 Range 3 Column 9,PI330807
MAC Field Scanner Season 4 Range 3 Column 10,PI330807
MAC Field Scanner Season 4 Range 3 Column 11,PI330181
MAC Field Scanner Season 4 Range 3 Column 12,PI330181
MAC Field Scanner Season 4 Range 3 Column 13,PI569447
MAC Field Scanner Season 4 Range 3 Column 14,PI569447
MAC Field Scanner Season 4 Range 3 Column 15,PI653616
MAC Field Scanner Season 4 Range 3 Column 16,PI653616
MAC Field Scanner Season 4 Range 3 Column 17,PI563020
MAC Field Scanner Season 4 Range 3 Column 18,PI563020
MAC Field Scanner Season 4 Range 3 Column 19,PI569097
MAC Field Scanner Season 4 Range 3 Column 20,PI569097
MAC Field Scanner Season 4 Range 3 Column 21,PI573193
MAC Field Scanner Season 4 Range 3 Column 22,PI573193
MAC Field Scanner Season 4 Range 3 Column 23,PI152771
MAC Field Scanner Season 4 Range 3 Column 24,PI152771
MAC Field Scanner Season 4 Range 3 Column 25,PI569427
MAC Field Scanner Season 4 Range 3 Column 26,PI569427
MAC Field Scanner Season 4 Range 3 Column 27,PI337680
MAC Field Scanner Season 4 Range 3 Column 28,PI337680
MAC Field Scanner Season 4 Range 3 Column 29,PI156871
MAC Field Scanner Season 4 Range 3 Column 30,PI156871
MAC Field Scanner Season 4 Range 4 Column 3,PI329473
MAC Field Scanner Season 4 Range 4 Column 4,PI329473
MAC Field Scanner Season 4 Range 4 Column 5,PI646251
MAC Field Scanner Season 4 Range 4 Column 6,PI646251
MAC Field Scanner Season 4 Range 4 Column 7,PI330169
MAC Field Scanner Season 4 Range 4 Column 8,PI330169
MAC Field Scanner Season 4 Range 4 Column 9,PI569458
MAC Field Scanner Season 4 Range 4 Column 10,PI569458
MAC Field Scanner Season 4 Range 4 Column 11,PI302252
MAC Field Scanner Season 4 Range 4 Column 12,PI302252
MAC Field Scanner Season 4 Range 4 Column 13,PI156217
MAC Field Scanner Season 4 Range 4 Column 14,PI156217
MAC Field Scanner Season 4 Range 4 Column 15,PI569090
MAC Field Scanner Season 4 Range 4 Column 16,PI569090
MAC Field Scanner Season 4 Range 4 Column 17,PI585608
MAC Field Scanner Season 4 Range 4 Column 18,PI585608
MAC Field Scanner Season 4 Range 4 Column 19,PI620072
MAC Field Scanner Season 4 Range 4 Column 20,PI620072
MAC Field Scanner Season 4 Range 4 Column 21,PI563338
MAC Field Scanner Season 4 Range 4 Column 22,PI563338
MAC Field Scanner Season 4 Range 4 Column 23,PI569460
MAC Field Scanner Season 4 Range 4 Column 24,PI569460
MAC Field Scanner Season 4 Range 4 Column 25,PI569444
MAC Field Scanner Season 4 Range 4 Column 26,PI569444
MAC Field Scanner Season 4 Range 4 Column 27,PI562730
MAC Field Scanner Season 4 Range 4 Column 28,PI562730
MAC Field Scanner Season 4 Range 4 Column 29,PI563355
MAC Field Scanner Season 4 Range 4 Column 30,PI563355
MAC Field Scanner Season 4 Range 5 Column 3,PI569445
MAC Field Scanner Season 4 Range 5 Column 4,PI569445
MAC Field Scanner Season 4 Range 5 Column 5,PI221651
MAC Field Scanner Season 4 Range 5 Column 6,PI221651
MAC Field Scanner Season 4 Range 5 Column 7,PI525049
MAC Field Scanner Season 4 Range 5 Column 8,PI525049
MAC Field Scanner Season 4 Range 5 Column 9,PI154987
MAC Field Scanner Season 4 Range 5 Column 10,PI154987
MAC Field Scanner Season 4 Range 5 Column 11,PI570087
MAC Field Scanner Season 4 Range 5 Column 12,PI570087
MAC Field Scanner Season 4 Range 5 Column 13,PI329300
MAC Field Scanner Season 4 Range 5 Column 14,PI329300
MAC Field Scanner Season 4 Range 5 Column 15,PI152728
MAC Field Scanner Season 4 Range 5 Column 16,PI152728
MAC Field Scanner Season 4 Range 5 Column 17,PI330168
MAC Field Scanner Season 4 Range 5 Column 18,PI330168
MAC Field Scanner Season 4 Range 5 Column 19,PI329256
MAC Field Scanner Season 4 Range 5 Column 20,PI329256
MAC Field Scanner Season 4 Range 5 Column 21,PI452542
MAC Field Scanner Season 4 Range 5 Column 22,PI452542
MAC Field Scanner Season 4 Range 5 Column 23,PI563331
MAC Field Scanner Season 4 Range 5 Column 24,PI563331
MAC Field Scanner Season 4 Range 5 Column 25,PI563021
MAC Field Scanner Season 4 Range 5 Column 26,PI563021
MAC Field Scanner Season 4 Range 5 Column 27,PI653617
MAC Field Scanner Season 4 Range 5 Column 28,PI653617
MAC Field Scanner Season 4 Range 5 Column 29,PI152966
MAC Field Scanner Season 4 Range 5 Column 30,PI152966
MAC Field Scanner Season 4 Range 6 Column 3,PI570075
MAC Field Scanner Season 4 Range 6 Column 4,PI570075
MAC Field Scanner Season 4 Range 6 Column 5,PI569423
MAC Field Scanner Season 4 Range 6 Column 6,PI569423
MAC Field Scanner Season 4 Range 6 Column 7,PI329286
MAC Field Scanner Season 4 Range 6 Column 8,PI329286
MAC Field Scanner Season 4 Range 6 Column 9,PI329403
MAC Field Scanner Season 4 Range 6 Column 10,PI329403
MAC Field Scanner Season 4 Range 6 Column 11,PI569148
MAC Field Scanner Season 4 Range 6 Column 12,PI569148
MAC Field Scanner Season 4 Range 6 Column 13,PI570038
MAC Field Scanner Season 4 Range 6 Column 14,PI570038
MAC Field Scanner Season 4 Range 6 Column 15,PI329646
MAC Field Scanner Season 4 Range 6 Column 16,PI329646
MAC Field Scanner Season 4 Range 6 Column 17,PI570110
MAC Field Scanner Season 4 Range 6 Column 18,PI570110
MAC Field Scanner Season 4 Range 6 Column 19,PI563009
MAC Field Scanner Season 4 Range 6 Column 20,PI563009
MAC Field Scanner Season 4 Range 6 Column 21,PI562982
MAC Field Scanner Season 4 Range 6 Column 22,PI562982
MAC Field Scanner Season 4 Range 6 Column 23,PI329517
MAC Field Scanner Season 4 Range 6 Column 24,PI329517
MAC Field Scanner Season 4 Range 6 Column 25,PI643008
MAC Field Scanner Season 4 Range 6 Column 26,PI643008
MAC Field Scanner Season 4 Range 6 Column 27,PI152751
MAC Field Scanner Season 4 Range 6 Column 28,PI152751
MAC Field Scanner Season 4 Range 6 Column 29,PI152733
MAC Field Scanner Season 4 Range 6 Column 30,PI152733
MAC Field Scanner Season 4 Range 7 Column 3,PI303658
MAC Field Scanner Season 4 Range 7 Column 4,PI303658
MAC Field Scanner Season 4 Range 7 Column 5,PI570085
MAC Field Scanner Season 4 Range 7 Column 6,PI570085
MAC Field Scanner Season 4 Range 7 Column 7,PI329710
MAC Field Scanner Season 4 Range 7 Column 8,PI329710
MAC Field Scanner Season 4 Range 7 Column 9,PI329644
MAC Field Scanner Season 4 Range 7 Column 10,PI329644
MAC Field Scanner Season 4 Range 7 Column 11,PI646242
MAC Field Scanner Season 4 Range 7 Column 12,PI646242
MAC Field Scanner Season 4 Range 7 Column 13,PI155516
MAC Field Scanner Season 4 Range 7 Column 14,PI155516
MAC Field Scanner Season 4 Range 7 Column 15,PI152694
MAC Field Scanner Season 4 Range 7 Column 16,PI152694
MAC Field Scanner Season 4 Range 7 Column 17,PI562897
MAC Field Scanner Season 4 Range 7 Column 18,PI562897
MAC Field Scanner Season 4 Range 7 Column 19,PI569419
MAC Field Scanner Season 4 Range 7 Column 20,PI569419
MAC Field Scanner Season 4 Range 7 Column 21,PI619807
MAC Field Scanner Season 4 Range 7 Column 22,PI619807
MAC Field Scanner Season 4 Range 7 Column 23,PI521290
MAC Field Scanner Season 4 Range 7 Column 24,PI521290
MAC Field Scanner Season 4 Range 7 Column 25,PI562732
MAC Field Scanner Season 4 Range 7 Column 26,PI562732
MAC Field Scanner Season 4 Range 7 Column 27,PI568717
MAC Field Scanner Season 4 Range 7 Column 28,PI568717
MAC Field Scanner Season 4 Range 7 Column 29,PI329471
MAC Field Scanner Season 4 Range 7 Column 30,PI329471
MAC Field Scanner Season 4 Range 8 Column 3,PI176766
MAC Field Scanner Season 4 Range 8 Column 4,PI176766
MAC Field Scanner Season 4 Range 8 Column 5,PI506122
MAC Field Scanner Season 4 Range 8 Column 6,PI506122
MAC Field Scanner Season 4 Range 8 Column 7,PI329584
MAC Field Scanner Season 4 Range 8 Column 8,PI329584
MAC Field Scanner Season 4 Range 8 Column 9,PI156178
MAC Field Scanner Season 4 Range 8 Column 10,PI156178
MAC Field Scanner Season 4 Range 8 Column 11,PI562990
MAC Field Scanner Season 4 Range 8 Column 12,PI562990
MAC Field Scanner Season 4 Range 8 Column 13,PI330195
MAC Field Scanner Season 4 Range 8 Column 14,PI330195
MAC Field Scanner Season 4 Range 8 Column 15,PI570145
MAC Field Scanner Season 4 Range 8 Column 16,PI570145
MAC Field Scanner Season 4 Range 8 Column 17,PI329510
MAC Field Scanner Season 4 Range 8 Column 18,PI329510
MAC Field Scanner Season 4 Range 8 Column 19,PI510757
MAC Field Scanner Season 4 Range 8 Column 20,PI510757
MAC Field Scanner Season 4 Range 8 Column 21,PI330199
MAC Field Scanner Season 4 Range 8 Column 22,PI330199
MAC Field Scanner Season 4 Range 8 Column 23,PI329865
MAC Field Scanner Season 4 Range 8 Column 24,PI329865
MAC Field Scanner Season 4 Range 8 Column 25,PI154750
MAC Field Scanner Season 4 Range 8 Column 26,PI154750
MAC Field Scanner Season 4 Range 8 Column 27,PI521280
MAC Field Scanner Season 4 Range 8 Column 28,PI521280
MAC Field Scanner Season 4 Range 8 Column 29,PI156487
MAC Field Scanner Season 4 Range 8 Column 30,PI156487
MAC Field Scanner Season 4 Range 9 Column 3,PI569416
MAC Field Scanner Season 4 Range 9 Column 4,PI569416
MAC Field Scanner Season 4 Range 9 Column 5,PI569457
MAC Field Scanner Season 4 Range 9 Column 6,PI569457
MAC Field Scanner Season 4 Range 9 Column 7,PI521152
MAC Field Scanner Season 4 Range 9 Column 8,PI521152
MAC Field Scanner Season 4 Range 9 Column 9,PI569452
MAC Field Scanner Season 4 Range 9 Column 10,PI569452
MAC Field Scanner Season 4 Range 9 Column 11,PI329351
MAC Field Scanner Season 4 Range 9 Column 12,PI329351
MAC Field Scanner Season 4 Range 9 Column 13,PI585961
MAC Field Scanner Season 4 Range 9 Column 14,PI585961
MAC Field Scanner Season 4 Range 9 Column 15,PI563350
MAC Field Scanner Season 4 Range 9 Column 16,PI563350
MAC Field Scanner Season 4 Range 9 Column 17,PI643016
MAC Field Scanner Season 4 Range 9 Column 18,PI643016
MAC Field Scanner Season 4 Range 9 Column 19,PI329319
MAC Field Scanner Season 4 Range 9 Column 20,PI329319
MAC Field Scanner Season 4 Range 9 Column 21,PI570431
MAC Field Scanner Season 4 Range 9 Column 22,PI570431
MAC Field Scanner Season 4 Range 9 Column 23,PI257600
MAC Field Scanner Season 4 Range 9 Column 24,PI257600
MAC Field Scanner Season 4 Range 9 Column 25,PI276837
MAC Field Scanner Season 4 Range 9 Column 26,PI276837
MAC Field Scanner Season 4 Range 9 Column 27,Unknown_PI329440
MAC Field Scanner Season 4 Range 9 Column 28,Unknown_PI329440
MAC Field Scanner Season 4 Range 9 Column 29,PI569454
MAC Field Scanner Season 4 Range 9 Column 30,PI569454
MAC Field Scanner Season 4 Range 10 Column 3,PI641807
MAC Field Scanner Season 4 Range 10 Column 4,PI641807
MAC Field Scanner Season 4 Range 10 Column 5,PI175919
MAC Field Scanner Season 4 Range 10 Column 6,PI175919
MAC Field Scanner Season 4 Range 10 Column 7,PI297155
MAC Field Scanner Season 4 Range 10 Column 8,PI297155
MAC Field Scanner Season 4 Range 10 Column 9,PI641821
MAC Field Scanner Season 4 Range 10 Column 10,PI641821
MAC Field Scanner Season 4 Range 10 Column 11,PI179749
MAC Field Scanner Season 4 Range 10 Column 12,PI179749
MAC Field Scanner Season 4 Range 10 Column 13,PI255744
MAC Field Scanner Season 4 Range 10 Column 14,PI255744
MAC Field Scanner Season 4 Range 10 Column 15,PI586435
MAC Field Scanner Season 4 Range 10 Column 16,PI586435
MAC Field Scanner Season 4 Range 10 Column 17,PI641909
MAC Field Scanner Season 4 Range 10 Column 18,PI641909
MAC Field Scanner Season 4 Range 10 Column 19,PI152816
MAC Field Scanner Season 4 Range 10 Column 20,PI152816
MAC Field Scanner Season 4 Range 10 Column 21,PI195754
MAC Field Scanner Season 4 Range 10 Column 22,PI195754
MAC Field Scanner Season 4 Range 10 Column 23,PI329501
MAC Field Scanner Season 4 Range 10 Column 24,PI329501
MAC Field Scanner Season 4 Range 10 Column 25,PI641860
MAC Field Scanner Season 4 Range 10 Column 26,PI641860
MAC Field Scanner Season 4 Range 10 Column 27,PI19770
MAC Field Scanner Season 4 Range 10 Column 28,PI19770
MAC Field Scanner Season 4 Range 10 Column 29,PI144134
MAC Field Scanner Season 4 Range 10 Column 30,PI144134
MAC Field Scanner Season 4 Range 11 Column 3,PI576399
MAC Field Scanner Season 4 Range 11 Column 4,PI576399
MAC Field Scanner Season 4 Range 11 Column 5,PI655978
MAC Field Scanner Season 4 Range 11 Column 6,PI655978
MAC Field Scanner Season 4 Range 11 Column 7,PI180348
MAC Field Scanner Season 4 Range 11 Column 8,PI180348
