sitename,cultivar
MAC Field Scanner Season 6 Range 1 Column 1,SP1516
MAC Field Scanner Season 6 Range 1 Column 2,SP1516
MAC Field Scanner Season 6 Range 1 Column 3,SP1516
MAC Field Scanner Season 6 Range 1 Column 4,SP1516
MAC Field Scanner Season 6 Range 1 Column 5,SP1516
MAC Field Scanner Season 6 Range 1 Column 6,SP1516
MAC Field Scanner Season 6 Range 1 Column 7,SP1516
MAC Field Scanner Season 6 Range 1 Column 8,SP1516
MAC Field Scanner Season 6 Range 1 Column 9,SP1516
MAC Field Scanner Season 6 Range 1 Column 10,SP1516
MAC Field Scanner Season 6 Range 1 Column 11,SP1516
MAC Field Scanner Season 6 Range 1 Column 12,SP1516
MAC Field Scanner Season 6 Range 1 Column 13,SP1516
MAC Field Scanner Season 6 Range 1 Column 14,SP1516
MAC Field Scanner Season 6 Range 1 Column 15,SP1516
MAC Field Scanner Season 6 Range 1 Column 16,SP1516
MAC Field Scanner Season 6 Range 2 Column 1,SP1516
MAC Field Scanner Season 6 Range 2 Column 2,SP1516
MAC Field Scanner Season 6 Range 2 Column 3,SP1516
MAC Field Scanner Season 6 Range 2 Column 4,SP1516
MAC Field Scanner Season 6 Range 2 Column 5,SP1516
MAC Field Scanner Season 6 Range 2 Column 6,SP1516
MAC Field Scanner Season 6 Range 2 Column 7,SP1516
MAC Field Scanner Season 6 Range 2 Column 8,SP1516
MAC Field Scanner Season 6 Range 2 Column 9,SP1516
MAC Field Scanner Season 6 Range 2 Column 10,SP1516
MAC Field Scanner Season 6 Range 2 Column 11,SP1516
MAC Field Scanner Season 6 Range 2 Column 12,SP1516
MAC Field Scanner Season 6 Range 2 Column 13,SP1516
MAC Field Scanner Season 6 Range 2 Column 14,SP1516
MAC Field Scanner Season 6 Range 2 Column 15,SP1516
MAC Field Scanner Season 6 Range 2 Column 16,SP1516
MAC Field Scanner Season 6 Range 3 Column 1,SP1516
MAC Field Scanner Season 6 Range 3 Column 2,SP1516
MAC Field Scanner Season 6 Range 3 Column 3,SP1516
MAC Field Scanner Season 6 Range 3 Column 4,SP1516
MAC Field Scanner Season 6 Range 3 Column 5,SP1516
MAC Field Scanner Season 6 Range 3 Column 6,SP1516
MAC Field Scanner Season 6 Range 3 Column 7,SP1516
MAC Field Scanner Season 6 Range 3 Column 8,PI329440
MAC Field Scanner Season 6 Range 3 Column 9,PI329440
MAC Field Scanner Season 6 Range 3 Column 10,SP1516
MAC Field Scanner Season 6 Range 3 Column 11,SP1516
MAC Field Scanner Season 6 Range 3 Column 12,SP1516
MAC Field Scanner Season 6 Range 3 Column 13,SP1516
MAC Field Scanner Season 6 Range 3 Column 14,SP1516
MAC Field Scanner Season 6 Range 3 Column 15,SP1516
MAC Field Scanner Season 6 Range 3 Column 16,SP1516
MAC Field Scanner Season 6 Range 4 Column 1,SP1516
MAC Field Scanner Season 6 Range 4 Column 2,PI563020
MAC Field Scanner Season 6 Range 4 Column 3,PI570031
MAC Field Scanner Season 6 Range 4 Column 4,PI330182
MAC Field Scanner Season 6 Range 4 Column 5,PI570110
MAC Field Scanner Season 6 Range 4 Column 6,PI585452
MAC Field Scanner Season 6 Range 4 Column 7,PI570400
MAC Field Scanner Season 6 Range 4 Column 8,PI329711
MAC Field Scanner Season 6 Range 4 Column 9,PI570091
MAC Field Scanner Season 6 Range 4 Column 10,PI653617
MAC Field Scanner Season 6 Range 4 Column 11,PI521152
MAC Field Scanner Season 6 Range 4 Column 12,PI153877
MAC Field Scanner Season 6 Range 4 Column 13,PI145626
MAC Field Scanner Season 6 Range 4 Column 14,PI329673
MAC Field Scanner Season 6 Range 4 Column 15,PI329394
MAC Field Scanner Season 6 Range 4 Column 16,SP1516
MAC Field Scanner Season 6 Range 5 Column 1,SP1516
MAC Field Scanner Season 6 Range 5 Column 2,PI569455
MAC Field Scanner Season 6 Range 5 Column 3,PI563355
MAC Field Scanner Season 6 Range 5 Column 4,PI646242
MAC Field Scanner Season 6 Range 5 Column 5,PI152816
MAC Field Scanner Season 6 Range 5 Column 6,PI152961
MAC Field Scanner Season 6 Range 5 Column 7,PI569264
MAC Field Scanner Season 6 Range 5 Column 8,PI569420
MAC Field Scanner Season 6 Range 5 Column 9,PI651497
MAC Field Scanner Season 6 Range 5 Column 10,PI641824
MAC Field Scanner Season 6 Range 5 Column 11,PI329546
MAC Field Scanner Season 6 Range 5 Column 12,PI221548
MAC Field Scanner Season 6 Range 5 Column 13,PI453696
MAC Field Scanner Season 6 Range 5 Column 14,PI152694
MAC Field Scanner Season 6 Range 5 Column 15,PI329256
MAC Field Scanner Season 6 Range 5 Column 16,SP1516
MAC Field Scanner Season 6 Range 6 Column 1,SP1516
MAC Field Scanner Season 6 Range 6 Column 2,PI329570
MAC Field Scanner Season 6 Range 6 Column 3,PI221651
MAC Field Scanner Season 6 Range 6 Column 4,PI156326
MAC Field Scanner Season 6 Range 6 Column 5,PI585577
MAC Field Scanner Season 6 Range 6 Column 6,PI570388
MAC Field Scanner Season 6 Range 6 Column 7,PI330858
MAC Field Scanner Season 6 Range 6 Column 8,PI619807
MAC Field Scanner Season 6 Range 6 Column 9,PI641815
MAC Field Scanner Season 6 Range 6 Column 10,PI156217
MAC Field Scanner Season 6 Range 6 Column 11,PI155760
MAC Field Scanner Season 6 Range 6 Column 12,PI213900
MAC Field Scanner Season 6 Range 6 Column 13,PI585608
MAC Field Scanner Season 6 Range 6 Column 14,PI562994
MAC Field Scanner Season 6 Range 6 Column 15,PI157804
MAC Field Scanner Season 6 Range 6 Column 16,SP1516
MAC Field Scanner Season 6 Range 7 Column 1,SP1516
MAC Field Scanner Season 6 Range 7 Column 2,PI330195
MAC Field Scanner Season 6 Range 7 Column 3,PI330184
MAC Field Scanner Season 6 Range 7 Column 4,PI329466
MAC Field Scanner Season 6 Range 7 Column 5,PI569244
MAC Field Scanner Season 6 Range 7 Column 6,PI452692
MAC Field Scanner Season 6 Range 7 Column 7,PI329550
MAC Field Scanner Season 6 Range 7 Column 8,PI569427
MAC Field Scanner Season 6 Range 7 Column 9,PI329471
MAC Field Scanner Season 6 Range 7 Column 10,PI570373
MAC Field Scanner Season 6 Range 7 Column 11,PI452619
MAC Field Scanner Season 6 Range 7 Column 12,PI563006
MAC Field Scanner Season 6 Range 7 Column 13,PI154750
MAC Field Scanner Season 6 Range 7 Column 14,PI506030
MAC Field Scanner Season 6 Range 7 Column 15,PI570076
MAC Field Scanner Season 6 Range 7 Column 16,SP1516
MAC Field Scanner Season 6 Range 8 Column 1,SP1516
MAC Field Scanner Season 6 Range 8 Column 2,PI527045
MAC Field Scanner Season 6 Range 8 Column 3,PI655978
MAC Field Scanner Season 6 Range 8 Column 4,PI540518
MAC Field Scanner Season 6 Range 8 Column 5,PI585467
MAC Field Scanner Season 6 Range 8 Column 6,PI154988
MAC Field Scanner Season 6 Range 8 Column 7,PI524475
MAC Field Scanner Season 6 Range 8 Column 8,PI179749
MAC Field Scanner Season 6 Range 8 Column 9,PI329518
MAC Field Scanner Season 6 Range 8 Column 10,PI564163
MAC Field Scanner Season 6 Range 8 Column 11,PI570042
MAC Field Scanner Season 6 Range 8 Column 12,PI646266
MAC Field Scanner Season 6 Range 8 Column 13,PI329632
MAC Field Scanner Season 6 Range 8 Column 14,PI570071
MAC Field Scanner Season 6 Range 8 Column 15,PI329518
MAC Field Scanner Season 6 Range 8 Column 16,SP1516
MAC Field Scanner Season 6 Range 9 Column 1,SP1516
MAC Field Scanner Season 6 Range 9 Column 2,PI506069
MAC Field Scanner Season 6 Range 9 Column 3,PI641850
MAC Field Scanner Season 6 Range 9 Column 4,PI273969
MAC Field Scanner Season 6 Range 9 Column 5,PI156393
MAC Field Scanner Season 6 Range 9 Column 6,PI257600
MAC Field Scanner Season 6 Range 9 Column 7,PI152730
MAC Field Scanner Season 6 Range 9 Column 8,PI569418
MAC Field Scanner Season 6 Range 9 Column 9,PI455301
MAC Field Scanner Season 6 Range 9 Column 10,PI329645
MAC Field Scanner Season 6 Range 9 Column 11,PI570114
MAC Field Scanner Season 6 Range 9 Column 12,PI196598
MAC Field Scanner Season 6 Range 9 Column 13,PI455217
MAC Field Scanner Season 6 Range 9 Column 14,PI152923
MAC Field Scanner Season 6 Range 9 Column 15,PI329618
MAC Field Scanner Season 6 Range 9 Column 16,SP1516
MAC Field Scanner Season 6 Range 10 Column 1,SP1516
MAC Field Scanner Season 6 Range 10 Column 2,PI152967
MAC Field Scanner Season 6 Range 10 Column 3,PI505722
MAC Field Scanner Season 6 Range 10 Column 4,PI152966
MAC Field Scanner Season 6 Range 10 Column 5,PI562985
MAC Field Scanner Season 6 Range 10 Column 6,PI653616
MAC Field Scanner Season 6 Range 10 Column 7,PI145633
MAC Field Scanner Season 6 Range 10 Column 8,PI22913
MAC Field Scanner Season 6 Range 10 Column 9,PI19770
MAC Field Scanner Season 6 Range 10 Column 10,PI563329
MAC Field Scanner Season 6 Range 10 Column 11,PI569419
MAC Field Scanner Season 6 Range 10 Column 12,PI156330
MAC Field Scanner Season 6 Range 10 Column 13,PI562998
MAC Field Scanner Season 6 Range 10 Column 14,PI330199
MAC Field Scanner Season 6 Range 10 Column 15,PI154844
MAC Field Scanner Season 6 Range 10 Column 16,SP1516
MAC Field Scanner Season 6 Range 11 Column 1,SP1516
MAC Field Scanner Season 6 Range 11 Column 2,PI563196
MAC Field Scanner Season 6 Range 11 Column 3,PI170787
MAC Field Scanner Season 6 Range 11 Column 4,PI257599
MAC Field Scanner Season 6 Range 11 Column 5,PI156268
MAC Field Scanner Season 6 Range 11 Column 6,PI562897
MAC Field Scanner Season 6 Range 11 Column 7,PI510757
